Disease,Precaution/Treatment,Type
Influenza,Annual flu vaccination,Precaution
Influenza,Regular hand washing with soap,Precaution
Influenza,Avoid close contact with sick individuals,Precaution
Influenza,Cover mouth and nose when coughing or sneezing,Precaution
Influenza,Disinfect frequently touched surfaces,Precaution
Influenza,"Antiviral medications (e.g., oseltamivir)",Treatment
Influenza,Rest,Treatment
Influenza,Increased fluid intake,Treatment
Influenza,"Over-the-counter pain relievers (e.g., ibuprofen, acetaminophen)",Treatment
Diabetes Mellitus,Maintain a healthy diet,Precaution
Diabetes Mellitus,Regular physical activity,Precaution
Diabetes Mellitus,Regular blood sugar monitoring,Precaution
Diabetes Mellitus,Avoid tobacco use,Precaution
Diabetes Mellitus,Regular medical check-ups,Precaution
Diabetes Mellitus,Insulin therapy,Treatment
Diabetes Mellitus,Oral hypoglycemic agents,Treatment
Diabetes Mellitus,Lifestyle modifications (diet and exercise),Treatment
Diabetes Mellitus,Regular monitoring of blood glucose levels,Treatment
Hypertension,Maintain a healthy weight,Precaution
Hypertension,Engage in regular physical activity,Precaution
Hypertension,Limit alcohol intake,Precaution
Hypertension,Reduce sodium intake,Precaution
Hypertension,Avoid tobacco use,Precaution
Hypertension,"Antihypertensive medications (e.g., ACE inhibitors, beta-blockers)",Treatment
Hypertension,Lifestyle modifications (diet and exercise),Treatment
Hypertension,Regular blood pressure monitoring,Treatment
Hypertension,Stress management techniques,Treatment
Asthma,Identify and avoid asthma triggers,Precaution
Asthma,Regular use of prescribed preventive inhalers,Precaution
Asthma,Regular monitoring of lung function,Precaution
Asthma,Receive annual flu vaccination,Precaution
Asthma,Develop an asthma action plan with a healthcare provider,Precaution
Asthma,Inhaled corticosteroids,Treatment
Asthma,Long-acting beta agonists,Treatment
Asthma,Leukotriene modifiers,Treatment
Asthma,Short-acting beta agonists for quick relief,Treatment
Asthma,Oral corticosteroids for severe exacerbations,Treatment
Tuberculosis,Avoid close contact with individuals known to have active TB,Precaution
Tuberculosis,Ensure proper ventilation in living spaces,Precaution
Tuberculosis,"Use protective measures (e.g., masks) when caring for TB patients",Precaution
Tuberculosis,Regular screening for those at high risk,Precaution
Tuberculosis,Complete the full course of TB vaccination (BCG vaccine where applicable),Precaution
Tuberculosis,"Combination antibiotic therapy (e.g., isoniazid, rifampin, ethambutol, pyrazinamide)",Treatment
Tuberculosis,Strict adherence to the prescribed medication regimen,Treatment
Tuberculosis,Regular follow-up with healthcare providers,Treatment
Tuberculosis,Supportive care for side effects,Treatment
Tuberculosis,Isolation during the initial phase of treatment to prevent spread,Treatment
COVID-19,Regular hand washing with soap and water,Precaution
COVID-19,Wearing masks in public settings,Precaution
COVID-19,Maintaining physical distance from others,Precaution
COVID-19,Avoiding large gatherings,Precaution
COVID-19,Regular cleaning and disinfecting of surfaces,Precaution
COVID-19,Getting vaccinated and staying up-to-date with booster shots,Precaution
COVID-19,Supportive care to relieve symptoms,Treatment
COVID-19,"Antiviral medications (e.g., remdesivir) for severe cases",Treatment
COVID-19,Use of supplemental oxygen for patients with low oxygen levels,Treatment
COVID-19,Monoclonal antibody treatments for certain cases,Treatment
COVID-19,Hospitalization and advanced supportive care for critical cases,Treatment
Malaria,Use of insect repellent containing DEET,Precaution
Malaria,Sleeping under insecticide-treated bed nets,Precaution
Malaria,Taking prophylactic antimalarial medications when traveling to endemic areas,Precaution
Malaria,Wearing protective clothing to reduce mosquito bites,Precaution
Malaria,Ensuring proper screening of windows and doors to prevent mosquito entry,Precaution
Malaria,"Antimalarial medications (e.g., chloroquine, artemisinin-based combination therapies)",Treatment
Malaria,Hospitalization in severe cases for supportive care,Treatment
Malaria,Regular monitoring of blood to assess treatment effectiveness,Treatment
Malaria,Addressing complications such as anemia or organ failure promptly,Treatment
Malaria,Ensuring complete adherence to the prescribed medication regimen,Treatment
Dengue,Use mosquito repellents,Precaution
Dengue,Wear protective clothing,Precaution
Dengue,Avoid stagnant water,Precaution
Dengue,Use mosquito nets,Precaution
Dengue,Supportive care,Treatment
Dengue,Hydration therapy,Treatment
Dengue,Pain relievers,Treatment
Dengue,Hospitalization in severe cases,Treatment
Cholera,Drink clean water,Precaution
Cholera,Proper sanitation,Precaution
Cholera,Cook food thoroughly,Precaution
Cholera,Regular hand washing,Precaution
Cholera,Oral rehydration therapy,Treatment
Cholera,Intravenous fluids,Treatment
Cholera,Antibiotics in severe cases,Treatment
Pneumonia,Get vaccinated,Precaution
Pneumonia,Avoid smoking,Precaution
Pneumonia,Maintain good hygiene,Precaution
Pneumonia,Stay away from sick individuals,Precaution
Pneumonia,Antibiotics (bacterial pneumonia),Treatment
Pneumonia,Oxygen therapy,Treatment
Pneumonia,Cough medicine,Treatment
Pneumonia,Rest and fluids,Treatment
urinary tract infection,Drink plenty of water,Precaution
urinary tract infection,Urinate frequently,Precaution
urinary tract infection,Maintain proper hygiene,Precaution
urinary tract infection,Avoid holding urine for too long,Precaution
urinary tract infection,Wear breathable cotton underwear,Precaution
urinary tract infection,Avoid irritants like caffeine and alcohol,Precaution
urinary tract infection,Wipe from front to back after using the toilet,Precaution
urinary tract infection,Take showers instead of baths,Precaution
urinary tract infection,Antibiotic therapy,Treatment
urinary tract infection,Increased fluid intake,Treatment
urinary tract infection,Pain relievers,Treatment
urinary tract infection,Cranberry juice or supplements,Treatment
urinary tract infection,Avoiding bladder irritants,Treatment
urinary tract infection,Proper hygiene practices,Treatment
hyperthyroidism,Limit iodine-rich foods,Precaution
hyperthyroidism,Manage stress effectively,Precaution
hyperthyroidism,Avoid caffeine and stimulants,Precaution
hyperthyroidism,Regular thyroid check-ups,Precaution
hyperthyroidism,Maintain a balanced diet,Precaution
hyperthyroidism,Get enough sleep,Precaution
hyperthyroidism,Avoid smoking and alcohol,Precaution
hyperthyroidism,Antithyroid medications,Treatment
hyperthyroidism,Beta-blockers for heart rate control,Treatment
hyperthyroidism,Radioactive iodine therapy,Treatment
hyperthyroidism,Surgery (thyroidectomy) in severe cases,Treatment
hyperthyroidism,Lifestyle modifications,Treatment
typhoid,Drink clean and boiled water,Precaution
typhoid,Maintain proper sanitation,Precaution
typhoid,Wash hands regularly,Precaution
typhoid,Avoid street food and raw vegetables,Precaution
typhoid,Get vaccinated against typhoid,Precaution
